index,0,1
355,AKML,Kuhmühlen
356,AKNK,"Kiel 
          Norwegenkai"
357,AKNKO,"Kiel 
          Norwegenkai (Ostufer)"
358,AKO,"Kiel 
          Oslo-Kai"
359,AKOH,"Kiel 
          Ostuferhafen"
360,AKOW,"Hamburg 
          Kohlentwiete"
361,AKPM,"Kampen 
          (Sylt) Mitte"
362,AKPMD,"Kampen 
          (Sylt) Dikstieg"
363,AKPMS,"Kampen 
          (Sylt) Süd"
364,AKPP,"Kappeln 
          (Schlei)"
365,AKRS,Krupunder
366,AKS,"Hamburg 
          Königstraße"
367,AKSK,"Kiel 
          Schwedenkai"
368,AKSM,"Kiel 
          Seefischmarkt"
369,AKSS,"Kiel 
          Hbf (SS)"
370,AKSU,"Kiel 
          Süd"
371,AKTH,Kutenholz
372,AKTK,"Kaltenkirchen 
          (Holst)"
373,AKTKH,"Kaltenkirchen 
          Holstentherme/Dodenhof"
374,AKTKS,"Kaltenkirchen 
          Süd"
375,AKTO,Kating
376,AKU,Kronsburg
377,AKUD,Kudensee
378,AKUP,Kupfermühle
379,AKW,"Kiel 
          West"
380,AKWD,Kiel-Wellingdorf
381,AKWK,Kiel-Wik
382,AKWS,"Hamburg 
          Kornweg (Klein Borstel)"
383,AKX,Klanxbüll
384,AL,"Lübeck 
          Hbf"
385,AL-Z,"Lübeck 
          ZOB"
386,ALA,"Hamburg-Langenfelde 
          Bbf"
387,ALAA,"Hamburg-Langenfelde 
          Abzw"
388,ALAG,"Hamburg-Langenfelde 
          Gbf"
389,ALAN,"Hamburg 
          Landwehr"
390,ALAS,"Hamburg 
          Landungsbrücken"
391,ALASK,"Hamburg 
          Landungsbrücken Brücke 7 Katamaran"
392,ALAU,"Lauenburg 
          (Elbe)"
393,ALB,Lübeck-Blankensee
394,ALBG,Lüneburg
395,"ALBG 
          1","Lüneburg 
          EST"
396,ALBGA,"Lüneburg 
          AVL"
397,ALBGB,"Lüneburg 
          Busbf"
398,ALBGG,"Lüneburg 
          Gbf"
