index,0,1
8041,UKN,Knau
8042,UKO,"Bad 
      Kösen"
8043,UKOE,Kölleda
8044,UKOH,"Weimar 
      NordThüringeningische Vertriebsges. Kohle mbH"
8045,UKON,Körner
8046,UKP,"Krölpa 
      (b Auma)"
8047,UKPR,Krölpa-Ranis
8048,UKR,Kraftsdorf
8049,UKS,"Crossen 
      an der Elster"
8050,UKSM,Kleinschmalkalden
8051,UKSO,"Crossen 
      an der Elster Ort"
8052,UKT,Küllstedt
8053,UKU,Kühnhausen
8054,UKW,"Krauschwitz 
      (b Teuchern)"
8055,UKWK,"Herbsleben 
      Kalkwerk"
8056,UKZ,"Könitz 
      (Thüringeningen)"
8057,UL,Leinefelde
8058,UL-M,"Leinefelde, 
      Milchhof"
8059,ULA,"Lauscha 
      (Thüringeningen)"
8060,ULAO,"Langenorla 
      Ost"
8061,ULAW,"Langenorla 
      West"
8062,ULB,"Lobenstein 
      (Thüringeningen)"
8063,ULBN,Leubingen
8064,ULBNB,"Leubingen 
      Bushaltestelle"
8065,ULCH,"Laucha 
      (Unstrut)"
8066,ULD,"Lengenfeld 
      unterm Stein"
8067,ULE,Legefeld
8068,ULEI,Leinakanal
8069,ULEU,Leutenberg
8070,ULEW,"Weida 
      Lederwerke"
8071,ULF,Langendorf
8072,ULFM,"Lengefeld 
      (b Mühlhausen)"
8073,ULGL,Langula
8074,ULH,Lederhose
8075,ULHO,Loitsch-Hohenleuben
8076,ULI,"Lichte 
      (Thüringeningen)"
8077,ULIH,"Lichtenhain 
      (a. d. Bergbahn)"
8078,ULIO,"Lichte 
      (Thüringeningen) Ost"
8079,ULIT,"Lichtentanne 
      (Thüringeningen)"
8080,ULK,Leimbach-Kaiseroda
8081,ULL,Leißling
8082,ULMB,Leimbach
8083,ULN,Leina
8084,ULOH,Lohmühle
8085,ULOS,"Lossa 
      (Finne)"
8086,ULP,Lippelsdorf
8087,ULS,"Bad 
      Langensalza"
8088,ULS-B,"Bad 
      Langensalza Busbahnhof"
8089,ULSO,"Bad 
      Langensalza Ost"
8090,ULST,"Bad 
      Liebenstein Post"
8091,ULT,"Luisenthal 
      (Thüringeningen)"
8092,ULUE,Lückenmühle
8093,ULWN,"Langewiesen 
      (Thüringeningen)"
8094,ULZ,"Liebschütz 
      (Saale)"
8095,UM,Meiningen
8096,UMA,Marienthal
8097,UMAH,Marlishausen
8098,UMCH,Manebach
8099,UMD,Mertendorf
8100,UME,Mechterstädt
8101,UMEL,Mellenbach-Glasbach
8102,UMEN,"Mellingen 
      (Thüringeningen)"
8103,UMER,"Menteroda 
      (Thüringeningen)"
8104,UMERS,"Menteroda 
      (Thüringeningen) Schacht"
8105,UMEU,Meuselbach-Schwarzmühle
8106,UMF,Münchenbernsdorf
8107,UMG,Marktgölitz
8108,UMGH,Mengersgereuth-Hämmern
8109,UMGL,Marienglashöhle
8110,UMH,"Mühlhausen 
      (Thüringeningen)"
8111,"UMH 
      B","Mühlhausen 
      (Thüringen) Busbahnhof"
8112,"UMH 
      K","Mühlhausen 
      (Thüringen) Kiliansgraben"
8113,UMHD,Mohlsdorf
8114,UMHO,"Mengersgereuth-Hämmern 
      Ost"
8115,UMK,Merkers
8116,UML,Marksuhl
8117,UMN,Menzengraben
8118,UMO,"Moßbach 
      (b Neustadt/Orla)"
8119,UMOE,Möhrenbach
8120,UMS,Mechterstädt-Sättelstädt
8121,UMSK,Mittelschmalkalden
8122,UMT,Martinroda
8123,UMU,"München 
      (b Bad Berka)"
8124,UN,Nordhausen
8125,UN-A,"Nordhausen 
      No"
8126,UN-B,"Nordhausen 
      Westberg"
8127,UN-N,"Nordhausen 
      Nzw"
8128,UN-O,"Nordhausen 
      Nb"
8129,UN-W,"Nordhausen 
      Westseite"
8130,UN-Z,"Nordhausen 
      Nzo"
8131,UNA,"Nohra 
      (Wipper)"
8132,UNAE,Nägelstedt
8133,UND,Neudietendorf
8134,UND-N,"Neudietendorf 
      Dn"
8135,UND-S,"Neudietendorf 
      Ds"
8136,UNDO,Niederorschel
8137,UNE,Nebra
8138,UNF,Neustadt-Gillersdorf
8139,UNH,Neunhofen
8140,UNHI,Neuhaus-Igelshieb
8141,UNHR,"Neuhaus 
      am Rennweg"
8142,UNI,Niederspier
8143,UNIW,Niedersachswerfen
8144,UNM,"Naumburg 
      (Saale) Hbf"
8145,UNM-W,"Naumburg 
      (Saale) Hbf Nw"
8146,UNME,"Neumühle 
      (Elster)"
8147,UNMO,"Naumburg 
      (Saale) Ost"
8148,UNOH,"Nohra 
      (b Weimar)"
8149,UNP,Niederpöllnitz
8150,UNR,Niederröblingen
8151,UNS,"Neue 
      Schenke"
8152,UNSA,Nordhausen-Salza
8153,UNSK,Niederschmalkalden
8154,UNTA,Niedertrebra
8155,UNU,"Neustadt 
      (Orla)"
8156,UNWL,Niederwillingen
8157,UNZI,Niederzimmern
8158,UO,Orlamünde
8159,UOB,Oberweimar
8160,UOB-T,"Oberweimar 
      Taubacher Straße"
8161,UOBR,Oberroßla
8162,UODL,Oberdorla
8163,UOE,Oesterkörner
8164,UOF,"Oberhof 
      (Thüringen)"
8165,UOFF,"Oberhof 
      (Thüringen) Friedensplatz"
8166,UOFM,Obstfelderschmiede
8167,UOG,Oppurg
8168,UOGR,Obergrunstedt
8169,UOH,Ohrdruf
8170,UOL,Olbersleben
8171,UOLA,Oberlauscha
8172,UOLN,Oldisleben
8173,UOM,Oßmannstedt
8174,UOR,"Oberröblingen 
      (Helme)"
8175,UORO,Oberrohn
8176,UOW,Oberweißbach-Deesbach
8177,UP,Pausa
8178,UPA,Paulinzella
8179,UPAP,"Greiz 
      Papierfabrik"
8180,UPE,Petriroda
8181,UPF,Porstendorf
8182,UPL,"Plaue 
      (Thüringen)"
8183,UPM,"Papiermühle 
      (Kr Stadtroda)"
8184,UPO,Posenmühle
8185,UPR,Probstzella
8186,UPS,"Pößneck 
      ob Bf"
8187,UPSU,"Pößneck 
      unt Bf"
8188,UPW,Pöllwitz
8189,UPZ,Prittitz
8190,UQU,Quittelsdorf
8191,UR,"Rudolstadt 
      (Thüringen)"
8192,"UR 
      G","Rudolstadt 
      (Thüringen) Gbf"
8193,URAU,"Rauenstein 
      (Thüringen)"
8194,URD,"Reinsdorf 
      (b Artern)"
8195,URD-B,"Reinsdorf 
      (b Artern) Bushaltestelle"
8196,URDA,Rauda
8197,URE,Remptendorf
8198,UREN,Rennsteig
8199,URGS,Ringleben-Gebesee
8200,URH,Rentwertshausen
8201,URI,Ritschenhausen
8202,URIE,Riestedt
8203,URM,Rentzschmühle
8204,URN,Reinhardsbrunn-Friedrichroda
8205,URNB,"Reinhardsbrunn 
      Bf"
8206,URNT,"Reinhardsbrunner 
      Teiche"
8207,URO,Roßleben
8208,UROH,"Rohr 
      (Thüringen)"
8209,UROHO,"Rohr 
      (Thüringen) Ort Bushaltestelle"
8210,UROS,Roßla
8211,UROT,"Rothenstein 
      (Saale)"
8212,URP,Rappelsdorf
8213,URR,Reurieth
8214,URS,Rudolstadt-Schwarza
8215,URSW,"Rudolstadt-Schwarza 
      West"
8216,URT,Rottleberode
8217,URT-C,"Rottleberode 
      Gasthof Chausseehaus"
8218,URTB,Rottenbach
8219,URTL,"Rottleben 
      (Kyffhäuser)"
8220,URTM,"Rottleberode 
      Mitte"
8221,URTS,"Rottleberode 
      Süd"
8222,URU,Rudisleben
8223,US,"Saalfeld 
      (Saale)"
8224,USAE,Sättelstädt
8225,USB,Seebergen
8226,USCG,Schwarzburg
8227,USCH,Schöps
8228,USCK,Schalkau
8229,USCM,Schlotheim
8230,USCS,Schönstedt
8231,USCSB,"Schönstedt 
      Hst B 247"
8232,USD,Sömmerda
8233,USDF,Sitzendorf-Unterweißbach
8234,USE,"Seebach 
      (Kr Mühlhausen)"
8235,USE-O,"Seebach 
      (Kr Mühlhausen) Ort"
8236,USEL,Seltendorf
8237,USF,Straußfurt
8238,USFD,"Schmiedefeld 
      am Rennsteig"
8239,USFP,"Schmiedefeld 
      (b Probstzella)"
8240,USG,Sangerhausen
8241,"USG 
      1","Sangerhausen 
      (Einsatzstelle)"
8242,USGN,"Singen 
      (Thüringen)"
8243,USH,Sondershausen
8244,USHJ,Sondershausen-Jecha
8245,USHM,Stotternheim
8246,USHS,"Sondershausen 
      Süd"
8247,USI,Silberhausen
8248,USI-A,"Silberhausen 
      Abzweig"
8249,USI-O,"Silberhausen 
      Ort Bushaltestelle"
8250,USK,Saaleck
8251,USKI,"St 
      Kilian"
8252,USL,Suhl
8253,USLF,Suhl-Friedberg
8254,USLH,Suhl-Heinrichs
8255,USLHF,"Suhl-Heinrichs 
      Bushaltestelle Fajas"
8256,USLN,Suhl-Neundorf
8257,USM,Schmalkalden
8258,USMR,"Schmalkalden 
      Reiherstor"
8259,USMS,"Schmalkalden 
      Stillertor"
8260,USMS,"Schmalkalden 
      Fachhochschule"
8261,USN,Schleusingen
8262,USNN,"Schleusinger 
      Neundorf"
8263,USNO,"Schleusingen 
      Ost"
8264,USNT,Schnepfenthal
8265,USO,"Sonneberg 
      (Thüringen) Hbf"
8266,USOC,"Sonneberg 
      (Thüringen) Ost Umschlagbf"
8267,USOL,Sollstedt
8268,USON,"Sonneberg 
      (Thüringen) Nord"
8269,USOO,"Sonneberg 
      (Thüringen) Ost"
8270,USOW,"Sonneberg 
      (Thüringen) West"
8271,USP,Schüptitz
8272,USPF,Schulpforte
8273,USR,Stadtroda
8274,USST,"Schwerstedt 
      (Unstrut)"
8275,UST,Stützerbach
8276,USTA,"Steinach 
      Süd"
8277,USTB,Steinberg
8278,USTG,"Steinachglas 
      GmbH"
8279,USTH,Steinbach-Hallenberg
8280,USTL,Stadtlengsfeld
8281,USTM,Stadtilm
8282,USTN,"Steinach 
      (Thüringen)"
8283,USTO,"Stolberg 
      (Harz)"
8284,USTOB,"Stolberg 
      (Harz) Bahnhofsvorplatz"
8285,USTR,Struth
8286,USTS,Stößen
8287,USTU,"Struth 
      (b Mühlhausen)"
8288,USTZ,Scheiplitz
8289,USU,"Schönau 
      (Hörsel)"
8290,USUE,Sülzenbrücken
8291,USUH,Sundhausen
8292,USWL,Schwallungen
8293,USZ,"Bad 
      Salzungen"
8294,USZK,"Bad 
      Salzungen Kaliwerk"
8295,UTA,Tannroda
8296,UTB,Triebes
8297,UTD,Tambach-Dietharz
8298,UTE,Thomasmühle
8299,UTEU,Teuchern
8300,UTG,Teistungen
8301,UTGB,"Thüringen 
      Ziegelwerke Erfurt GmbH Werk Teist"
8302,UTH,Themar
8303,UTI,Tiefenort
8304,UTN,Traun
8305,UTP,Töppeln
8306,UTR,Triptis
8307,UTRO,Tromsdorf
8308,UTS,"Bad 
      Tennstedt"
8309,UTZ,Tabarz
8310,UUB,Unterbreizbach
8311,UUD,Uder
8312,UUF,Uftrungen
8313,UUF-A,"Uftrungen 
      Abzw zum Bahnhof"
8314,UUI,Uichteritz
8315,UUL,Ulla
8316,UUM,Untermaßfeld
8317,UUM-O,"Untermaßfeld 
      Ort Bushaltestelle"
8318,UUMS,"Umspannwerk 
      Remptendorf"
8319,UUS,Uhlstädt
8320,UUTL,Unterlemnitz
8321,UUW,Unterwellenborn
8322,UUZ,"Unterloquitz 
      Hp"
8323,UUZA,"Unterloquitz 
      Anst"
8324,UV,Vacha
8325,UVA,Vachdorf
8326,UVE,Veßra
8327,UVF,Veilsdorf
8328,UVI,Vieselbach
8329,UVIU,"Erfurt-Vieselbach 
      UBF"
8330,UVO,Voigtstedt
8331,UVP,"Mellenbach-Glasbach 
      Verpackungsglas"
8332,UVU,Viernau
8333,UVZ,Vitzenburg
8334,UW,Weißenfels
8335,UW-B,"Weißenfels 
      Stw Bwn"
8336,UW-G,"Weißenfels 
      Gbf"
8337,UW-O,"Weißenfels 
      Wo"
8338,UW-V,"Weißenfels 
      Wv"
8339,UWA,Wandersleben
8340,UWAL,"Wallhausen 
      (Helme)"
8341,UWAR,"Wartha 
      (Werra)"
8342,UWBS,Worbis
8343,UWCH,"Wurzbach 
      (Thüringen)"
8344,UWD,"Walldorf 
      (Werra)"
8345,UWE,Weida
8346,UWEA,"Weida 
      Altstadt"
8347,UWEH,Wethau
8348,UWF,"Wünschendorf 
      (Elster)"
8349,UWFN,"Wünschendorf 
      (Elster) Nord"
8350,UWH,Wernshausen
8351,UWHM,Wangenheim
8352,UWHS,Wendehausen
8353,UWIF,Wifo
8354,UWIN,Wintzingerode
8355,UWIP,Wipperdorf
8356,UWIR,Wingerode
8357,UWIT,Witterda
8358,UWK,Wolkramshausen
8359,UWL,Walschleben
8360,UWLH,Wölfershausen
8361,UWM,Weimar
8362,"UWM 
      F","Weimar 
      Stw W1"
8363,UWMB,"Weimar 
      Berkaer Bf"
8364,UWMT,"Weimar 
      West"
8365,UWN,Waltershausen
8366,UWN-A,"Waltershausen, 
      Albrechtstraße"
8367,UWN-G,"Waltershausen, 
      Goethestraße"
8368,UWN-O,"Waltershausen, 
      Ohrdrufer Straße"
8369,UWN-G,"Waltershausen 
      Gleisdreieck"
8370,UWNS,Waltershausen-Schnepfenthal
8371,UWNW,Waltershausen-Wahlwinkel
8372,UWOE,"Wöhlsdorf 
      Metall-Rohstoffe Thüringeningen"
8373,UWOF,Woffleben
8374,UWOL,Wolfsgefärth
8375,UWS,Wasungen
8376,UWSE,"Weißensee 
      (Thüringen)"
8377,UWTH,Werther
8378,UWTL,Wasserthaleben
8379,UWU,Wutha
8380,UWUH,Weilar-Urnshausen
8381,UWWE,"Weißenfels 
      West"
8382,UWZ,Warza
8383,UXA,"Arenshausen 
      RB-Grenze"
8384,UXE,"Ellrich 
      (Tarifgrenze)"
8385,UXE,"Ellrich 
      (Tarifgrenze)"
8386,UXG,"Gerstungen 
      (Tarifgrenze)"
8387,UXP,"Probstzella 
      (Tarifgrenze)"
8388,UXR,"Rentwertshausen 
      (Tarifgrenze)"
8389,UXS,"Sonneberg 
      (Thüringen) (Tarifgrenze)"
8390,UZ,Ziegenrück
8391,UZE,Zeutsch
8392,UZK,"Zollbrück 
      (Thüringen)"
8393,UZL,Zella-Mehlis
8394,UZLW,"Zella-Mehlis 
      West"
8395,UZM,Zschachenmühle
8396,UZN,Zopten
8397,UZO,"Zeulenroda 
      ob Bf"
8398,UZR,"Zella 
      (Rhön)"
8399,UZU,"Zeulenroda 
      unt Bf"
8400,FABL,Altenbrunslar
8401,FACK,Adolfseck
8402,FAD,Abendstern
8403,FADD,"Allendorf 
      (Dillkreis)"
8404,FADF,"Allendorf 
      (Lumda)"
8405,FADH,Adolfshütte
8406,FAF,"Arfurt 
      (Lahn)"
8407,FAFB,Aufenauerberg
8408,FAFD,"Alsfeld 
      (Oberhessen)"
8409,FAFDH,"Alsfeld 
      Hersfelder Str."
8410,FAFDI,"Alsfeld 
      (Oberhessen)"
8411,FAFK,"Aufenau 
      Kindergarten"
8412,FAG,Albig
8413,FAGB,"Albig 
      Bk"
8414,FAGN,"Altengronau 
      Nord"
8415,FAH,Aßmannshausen
8416,"FAH 
      S","Aßmannshausen 
      (Schiff)"
8417,FAHM,Alsheim
8418,FAHN,Altenhasungen
8419,FAL,Aßlar
8420,FALB,Albungen
8421,FALD,"Allendorf 
      (Eder)"
8422,FALF,"Allendorf 
      (Kr Wetzlar)"
8423,FALH,"Albisheim 
      (Pfrimm)"
8424,FALI,"Alzey 
      Industriestammgleis"
8425,FALS,Albshausen
8426,FALV,"Allendorf 
      (Eder) Viessmann I"
8427,FALV,"Allendorf 
      (Eder) Viessmann 1"
8428,FALZ,Alzey
8429,"FALZ 
      1","Alzey 
      (Einsatzstelle)"
8430,FAM,Auringen-Medenbach
8431,FAMD,Amdorf
8432,FAMO,Altmorschen
8433,FANG,Angersbach
8434,FANR,Anraff
8435,FAR,"Bad 
      Arolsen"
8436,FARM,Armsheim
8437,FAS,"Assenheim 
      (Oberhessen)"
8438,FASB,"Asbach 
      (Kr Hersfeld)"
8439,FASM,Asmushausen
8440,FAST,"Altenstadt 
      (Hessen)"
8441,FAT,"Altheim 
      (Hessen)"
8442,FATF,"Altenfeld 
      (Rhön)"
8443,FAU,"Bad 
      Orb Aumühle"
8444,FAUD,Audenschmiede
8445,FAUH,Auhammer
8446,FAUM,Aumenau
8447,FAVI,"Allendorf 
      (Eder) Viessmann II"
8448,FAVI,"Allendorf 
      (Eder) Viessmann 2"
8449,FAZ,Anzefahr
8450,FAZB,"Alzenau 
      Burg"
8451,FAZS,"Alzey 
      Süd"
8452,FAZU,"Alzenau 
      (Unterfranken)"
8453,FB,Bebra
8454,FB-A,"Bebra 
      Pbf/Rbf Überleitung"
8455,FB-B,"Bebra 
      Berg"
8456,FB-C,"Bebra 
      Rbf/Gbf"
8457,FB-M,"Bebra 
      Mitte"
8458,FB-O,"Bebra 
      Ost"
8459,FB-R,"Bebra 
      Rbf"
8460,FB-T,"Bebra 
      Tunnel"
8461,FB-U,"Bebra 
      Umladebahnhof"
8462,FBA,"Babenhausen 
      (Hessen)"
8463,FBAD,Balduinstein
8464,FBAE,Edersee-Hemfurth
8465,FBAF,Battenfeld
8466,FBAH,Balhorn
8467,FBAL,Ballersbach
8468,FBAN,Bannberscheid-Staudt
8469,FBAN,Bannberscheid-Staudt
8470,FBAU,Bensheim-Auerbach
8471,FBB,Bruchenbrücken
8472,FBBH,Birkenbringhausen
8473,FBBM,Biebesheim
8474,FBCH,Bacharach
8475,FBCHS,"Bacharach 
      (Schiff)"
8476,FBDG,"Büdingen 
      (Oberhessen)"
8477,FBDH,Büches-Düdelsheim
8478,FBDR,Büdesheim-Dromersheim
8479,FBDW,Büdingen
8480,FBE,"Bad 
      Endbach"
8481,FBEB,Bechtolsheim-Biebelnheim
8482,FBED,"Berndorf 
      (Waldeck)"
8483,FBEF,Beiseförth
8484,FBEH,Beiershausen
8485,FBEI,Beienheim
8486,FBEN,Bermutshain
8487,FBES,"Beilstein 
      (Dillkreis)"
8488,FBES,"Beilstein 
      (Dillkreis)"
8489,FBEZ,Berzhahn
8490,FBFO,Braunfels-Oberndorf
8491,FBFS,Leun/Braunfels
8492,FBGG,Bingen-Gaulsheim
8493,FBGH,"Burgholzhausen 
      v. d. Höhe"
8494,FBGK,"Bingen 
      (Rhein) Hbf"
8495,FBGKG,"Bingen 
      (Rhein) Gbf"
8496,FBGKS,"Bingen 
      (Rhein) (Schiff)"
8497,FBGKV,"Bingen 
      (Rhein) Vorbahnhof"
8498,FBGN,"Bingen 
      (Rhein) Stadt"
8499,FBGR,Baunatal-Grossenritte
8500,FBH,Bensheim
8501,FBHB,"Bad 
      Hersfeld Babcock-Schilde/RTO"
8502,FBHE,"Bad 
      Hersfeld-Eichhof"
8503,FBHF,"Bad 
      Hersfeld"
8504,FBHFU,"Bad 
      Hersfeld Busbf"
8505,FBHG,Bergheim-Giflitz
8506,FBHK,"Bad 
      Hersfeld Kurpark"
8507,FBHM,"Büdesheim 
      (Oberhessen)"
8508,FBHN,"Bernshausen 
      (Oberhessen)"
8509,FBI,"Bickenbach 
      (Bergstraße)"
8510,FBIB,Bieberstein
8511,FBIH,Bischhausen
8512,FBIK,Biedenkopf
8513,FBIN,"Bicken 
      (Dillkreis)"
8514,FBIS,Bischoffen
8515,FBIZ,"Biedenkopf 
      Schulzentrum"
8516,FBK,Bruchköbel
8517,FBKB,"Bad 
      Hersfeld Kreisbahn"
8518,FBL,Biblis
8519,FBLA,Blankenheim
8520,FBLB,Bleidenstadt
8521,FBLH,"Bleichenbach 
      (Oberhessen)"
8522,FBLK,Blankenbach
8523,FBMA,"Bad 
      Marienberg"
8524,FBMB,Baumbach
8525,FBMH,"Bömighausen 
      Burlande"
8526,FBMHW,"Bömighausen 
      Wiesengrund"
8527,FBMR,"Maintal 
      West"
8528,FBN,"Breidenstein 
      (Kr Biedenkopf)"
8529,FBNA,"Bad 
      Nauheim"
8530,FBNAE,"Bad 
      Nauheim EFW"
8531,FBNAP,"Bad 
      Nauheim Parkstraße"
8532,FBNG,"Burg-und 
      Nieder Gemünden"
8533,FBNN,"Bad 
      Nauheim Nord"
8534,FBNU,"Buchenau 
      (Lahn)"
8535,FBO,"Borsdorf 
      (Hessen)"
8536,FBOD,Bodenheim
8537,FBOF,"Bonaforth 
      Zellstoffwerke"
8538,FBOK,"Borken 
      (Hessen)"
8539,FBON,Bonbaden
8540,FBOS,Bosserode
8541,FBR,"Breitscheid 
      (Dillkreis)"
8542,FBRB,"Breitenbach 
      (Kr Kassel)"
8543,FBRD,Brandoberndorf
8544,FBRE,"Breidenbach 
      (Kr Biedenkopf)"
8545,FBRG,Bürgeln
8546,FBRH,Breithardt
8547,FBRM,"Breckenheim 
      (Planung NBS)"
8548,FBRO,Bronnzell
8549,FBRS,"Kelsterbach 
      Brunnenschneise (Planung NBS)"
8550,FBRU,Brungershausen
8551,FBSB,"Bad 
      Schwalbach"
8552,FBSD,"Bad 
      Sooden-Allendorf"
8553,FBSDB,"Bad 
      Sooden-Allendorf Bus"
8554,FBSH,"Bad 
      Salzhausen"
8555,FBSN,Bergschneise
8556,FBSO,"Bad 
      Soden (Taunus)"
8557,FBSS,"Bad 
      Soden-Salmünster"
8558,FBSSB,"Bad 
      Soden-Salmünster Bus"
8559,FBST,Bobstadt
8560,FBTB,"Breitenbach 
      (Herzberg)"
8561,FBTG,Battenberg
8562,FBTL,Baunatal
8563,FBTV,"Battenberg 
      Viessmann"
8564,FBUD,Budenheim
8565,FBUE,Bürstadt
8566,FBUG,"Burg 
      (Dillkreis)"
8567,FBUH,"Burghaun 
      (Kr Hünfeld)"
8568,FBUL,Buhlen
8569,FBUN,"Burg 
      (Dillkreis) Nord"
8570,FBUO,Burgsolms-Oberndorf
8571,FBUP,"Bürstadt 
      (Hp)"
8572,FBUS,Dreieich-Buchschlag
8573,FBW,Berstadt-Wohnbach
8574,FBWD,"Bad 
      Wildungen"
8575,FBWDB,"Bad 
      Wildungen Busbf"
8576,FBZ,Butzbach
8577,FBZM,"Frankfurt 
      Betriebszentrale NL Mitte"
8578,FBZN,"Butzbach 
      Nord"
8579,FBZO,"Butzbach 
      Ost"
8580,FCA,"Bad 
      Camberg"
8581,FCG,Cornberg
8582,FCH,Chausseehaus
8583,FCLD,Caldern
8584,FCOE,Cölbe
8585,FCU,Carlshütte
8586,FCX,"Raunheim 
      Caltex (Planung NBS)"
8587,FD,"Darmstadt 
      Hbf"
8588,FD-Z,"Darmstadt 
      Hbf ZOB"
8589,FDA,Darmstadt-Arheilgen
8590,FDAU,Daubringen
8591,FDAU,Daubringen
8592,FDBT,Dillbrecht
8593,FDCH,Dreieich-Dreieichenhain
8594,FDD,"Damm 
      (Kr Marburg) Dorf"
8595,FDE,Darmstadt-Eberstadt
8596,FDET,"Dettingen 
      (Main)"
8597,FDF,Driedorf
8598,FDFD,Dransfeld
8599,FDFD,Dransfeld
8600,FDG,"Groß 
      Gerau-Dornberg"
8601,FDH,"Dorheim 
      (Wetterau)"
8602,FDI,Dieburg
8603,FDIE,Dietershan
8604,FDIK,"Dillenburg 
      Kurhaus"
8605,FDIL,Dillenburg
8606,"FDIL 
      1","Dillenburg 
      (Einsatzstelle)"
8607,FDILS,"Dillenburg 
      (Stw Bez. Ds)"
8608,FDIN,"Dillenburg 
      Nord"
8609,FDIO,"Diez 
      Ost"
8610,FDIZ,Diez
8611,FDK,Darmstadt-Kranichstein
8612,FDME,"Darmstadt 
      Merck"
8613,FDN,"Darmstadt 
      Nord"
8614,FDO,"Darmstadt 
      Ost"
8615,FDOD,Dodenau
8616,FDOH,Dornheim
8617,FDS,"Darmstadt 
      Süd"
8618,FDST,"Dillenburg 
      Stahlwerk"
8619,FDSU,Dausenau
8620,FDTH,"Dutenhofen 
      (Kr Wetzlar)"
8621,FDU,"Dudenhofen 
      (b Offenbach)"
8622,FDW,Dortelweil
8623,FDZ,"Dietzenbach 
      (Hessen)"
8624,FDZS,"Dietzenbach 
      (Hessen) Stadt"
8625,FEBS,Eberschütz
8626,FECH,"Eichen 
      (Nidder)"
8627,FECK,Eckweisbach
8628,FECK,Eckweisbach
8629,FED,Eddersheim
8630,FEDI,"Edingen 
      (Kr Wetzlar)"
8631,FEDN,Ederbringhausen
8632,FEF,Effolderbach
8633,FEG,Eschwege
8634,FEGB,Egelsbach
8635,FEGN,Ehringen
8636,FEGW,"Eschwege 
      West"
8637,FEGWB,"Eschwege 
      West Busbf"
8638,FEH,"Eiserne 
      Hand"
8639,FEHH,"Ehringshausen 
      (Oberhessen)"
8640,FEHN,Erdhausen
8641,FEHR,"Ehringshausen 
      (Kr Wetzlar)"
8642,FEHS,Essershausen
8643,FEI,Eiterfeld
8644,FEIB,Eibelshausen
8645,FEIF,"Eifa 
      (Kreis Alsfeld)"
8646,FEIH,"Eich 
      (Rheinhessen)"
8647,FEIM,Eichmühle
8648,FEIS,"Frankfurt 
      Eiserner Steg"
8649,FEIZ,Eichenzell
8650,FEK,Erbstadt-Kaichen
8651,FEKW,"Gießen 
      Erdkauterweg"
8652,FEL,Elm
8653,FELH,Elgershausen
8654,FELI,"Elbingen 
      (Oberwesterwaldkreis)"
8655,FELS,"Elz 
      (Kr Limburg/Lahn) Süd"
8656,FELT,Eltville
8657,FELTS,"Eltville 
      (Schiff)"
8658,FELZ,"Elz 
      (Kr Limburg/Lahn)"
8659,FEMD,Eimelrod
8660,FEMS,"Bad 
      Ems"
8661,FEMT,Emstal
8662,FEMW,"Bad 
      Ems West"
8663,FEN,Eschhofen
8664,FENS,Enspel
8665,FEP,Eppstein
8666,FEPB,Eppstein-Bremthal
8667,FEPP,"Eppelsheim 
      (Rheinhessen)"
8668,FEPR,Epterode
8669,FER,Eppertshausen
8670,FERA,"Enspel 
      Adrian"
8671,FERB,"Erbach 
      (Rheingau)"
8672,FERD,Erdbach
8673,FERH,"Ernsthausen 
      (Kr Frankenberg)"
8674,FERN,"Erbach 
      (Odenwald) Nord"
8675,FERO,"Erbach 
      (Odenwald)"
8676,"FERO 
      1","Erbach 
      (Odenwald) (Einsatzstelle)"
8677,FERS,Ersrode
8678,FERT,Eisemroth
8679,FERU,"Enspel 
      Uhrmacher"
8680,FERW,"Nistertal-Bad 
      Marienberg"
8681,FES,Eschborn
8682,FESS,"Eschborn 
      Süd"
8683,FEST,Eschenstruth
8684,FET,Elters
8685,FETZ,Etzen-Gesäß
8686,FEW,Ewersbach
8687,FEZ,Erzhausen
8688,FEZL,Echzell
8689,FF,"Frankfurt 
      (Main) Hbf"
8690,FF-B,"Frankfurt 
      (Main) Hbf Bushaltestelle"
8691,FF-H,"Frankfurt 
      (Main) Hoch/Tief"
8692,FFA,"Frankfurt/M 
      Abstellanlage"
8693,FFAN,"Fachingen 
      (Lahn)"
8694,FFAU,"Frankfurt 
      (Main) Außenbahnhof"
8695,FFAW,"Frankfurt-Höchst 
      Farbwerke"
8696,FFAW,"Frankfurt-Höchst 
      Industriepark"
8697,FFAWA,"Frankfurt-Höchst 
      Farbwerke Überleitung"
8698,FFB,Flammersbach
8699,FFBK,"Frankfurt 
      (Main)-Berkersheim"
8700,FFBS,"Frankfurt 
      (Main)-Frankfurter Berg"
8701,FFD,Flieden
8702,FFDF,Faßdorf
8703,FFES,"Frankfurt 
      (Main)-Eschersheim"
8704,FFG,"Friedberg 
      (Hessen)"
8705,"FFG 
      1","Friedberg 
      (Hessen) (Einsatzstelle)"
8706,"FFG 
      2","Friedberg 
      (Hessen) (Einsatzstelle)"
8707,FFG-O,"Friedberg 
      (Hessen) Ost"
8708,"FFG 
      S","Friedberg 
      (Hessen) Süd"
8709,FFGA,"Frankfurt 
      (Main) Galluswarte"
8710,FFGI,"Frankfurt 
      (Main)-Ginnheim"
8711,FFGS,"Friedberg 
      (Hessen) Industriestammgleis"
8712,FFH,"Flörsheim 
      (Main)"
8713,FFHH,"Frankfurt-Höchst 
      Hoechst AG"
